,instruction,output
872,User asked: 'how long until a cash withdrawal will show on my account',I'm here to help with that.
873,User asked: 'When will the cash that I put in the ATM be cleared from pending status?',I'm here to help with that.
874,"User asked: 'My card was declined and I did not receive money from the ATM earlier, yet it show on my account that it is pending.'",I'm here to help with that.
875,User asked: 'I pulled cash from the ATM earlier. Why is it still pending if I already have the cash?',I'm here to help with that.
876,User asked: 'my cash withdrawal has not come out of my account yet.',I'm here to help with that.
877,"User asked: 'I needed cash today, so I used another provider's ATM, and when I attempted to withdraw, it declined. I just checked it out and I'm still showing my account with that amount pending! I didn't take any money out, it was declined, so I don't want that to be processed as a withdrawal.'",I'm here to help with that.
878,User asked: 'Why has my deposit in the ATM not cleared yet?',I'm here to help with that.
879,User asked: 'why isnt my cash withdrawal showing',I'm here to help with that.
880,User asked: 'How many different currencies can I hold money in?',I'm here to help with that.
881,User asked: 'Do you allow currency exchanges?',I'm here to help with that.
882,User asked: 'How many currencies can I have money in in my account?',I'm here to help with that.
883,User asked: 'Is the EUR accepted for exchanges?',I'm here to help with that.
884,User asked: 'Is it okay to hold money in multiple currencies?',I'm here to help with that.
885,User asked: 'Can I have money in more than one currency in my account?',I'm here to help with that.
886,User asked: 'What currencies can I have?',I'm here to help with that.
887,User asked: 'What currencies can my account be in?',I'm here to help with that.
888,User asked: 'How many currencies can I have?',I'm here to help with that.
889,User asked: 'Are EUR exchanges allowed?',I'm here to help with that.
890,User asked: 'I want to have multiple currencies in my account if possible.',I'm here to help with that.
891,User asked: 'Do you convert to Euro?',I'm here to help with that.
892,User asked: 'What fiat currencies can I use for holding and exchanging?',I'm here to help with that.
893,User asked: 'Can exchanged be made to EUR?',I'm here to help with that.
894,User asked: 'I need to know what flat currencies you support for holding and exchange.',I'm here to help with that.
895,User asked: 'Do you support other currencies?',I'm here to help with that.
896,User asked: 'Can you convert to EUR?',I'm here to help with that.
897,User asked: 'What are the fiat currencies used?',I'm here to help with that.
898,"User asked: 'What currencies can I not hold many in, if so what are they?'",I'm here to help with that.
899,User asked: 'How many different currencies can I have my money in?',I'm here to help with that.
900,User asked: 'Which fiat currencies are supported by you?',I'm here to help with that.
901,User asked: 'What currencies do you offer?',I'm here to help with that.
902,User asked: 'Are there any fiat currencies that you will not work with?',I'm here to help with that.
903,User asked: 'I wondered if multiple currencies is okay?',I'm here to help with that.
904,User asked: 'Are all fiat currencies supported?',I'm here to help with that.
905,User asked: 'Can you tell me the names of the fiat currencies that I can use at your institution?',I'm here to help with that.
906,User asked: 'Can I change or hold different currency?',I'm here to help with that.
907,User asked: 'Which flat currencies are supported for holding and exchange?',I'm here to help with that.
908,User asked: 'What other fiat currencies can I use?',I'm here to help with that.
909,User asked: 'What fiat currencies do you allow exchange with?',I'm here to help with that.
910,User asked: 'Are all European currencies available for holding and exchange?',I'm here to help with that.
911,User asked: 'Can you tell me how many currencies I can hold?',I'm here to help with that.
912,User asked: 'What types of foreign money can be used with this service.?',I'm here to help with that.
913,User asked: 'Am I allowed to hold money in multiple currencies?',I'm here to help with that.
914,User asked: 'What fiat currencies do you support?',I'm here to help with that.
915,"User asked: 'I need to hold money, what currencies can I use?'",I'm here to help with that.
916,User asked: 'Can you do exchanges of EUR?',I'm here to help with that.
917,User asked: 'What are all the fiat currencies that are supported for both exchange and holding?',I'm here to help with that.
918,User asked: 'What currencies can I hold?',I'm here to help with that.
919,User asked: 'what currencies do you accept?',I'm here to help with that.
920,User asked: 'Are there limitations to what currency I can hold?',I'm here to help with that.
921,User asked: 'What types of fiduciary currencies are supported for tenure and exchange?',I'm here to help with that.
922,User asked: 'Can I hold more than one currency?',I'm here to help with that.
923,User asked: 'What fiat currencies are used with holdings and exchanges?',I'm here to help with that.
924,User asked: 'Is it possible to hold money in multiple currencies?',I'm here to help with that.
925,User asked: 'Can I have multiple currencies in my account?',I'm here to help with that.
926,User asked: 'I need to know which fiat currencies I can use with you.',I'm here to help with that.
927,User asked: 'How can I solve my issue with holding multiple currencies?',I'm here to help with that.
928,User asked: 'What currencies do you support?',I'm here to help with that.
929,User asked: 'Do you support fiat currencies?',I'm here to help with that.
930,User asked: 'Can my account have different types of currency in it.',I'm here to help with that.
931,User asked: 'What kind of money can I hold?',I'm here to help with that.
932,User asked: 'Will you be able to exchange to EUR?',I'm here to help with that.
933,User asked: 'Is my country's currency supported by your system?',I'm here to help with that.
934,User asked: 'What flat currencies do you support for holding and exchange?',I'm here to help with that.
935,User asked: 'What kind of fiat currencies are supported for holding and exchange?',I'm here to help with that.
936,User asked: 'Can you make exchanges with the EUR?',I'm here to help with that.
937,User asked: 'Is EUR one of the currencies you deal with?',I'm here to help with that.
938,User asked: 'Are EUR exchanges acceptable?',I'm here to help with that.
939,User asked: 'What currencies can I exchange?',I'm here to help with that.
940,User asked: 'What fiduciary currencies are supported for tenure and exchange?',I'm here to help with that.
941,User asked: 'Will you be adding more currencies in the future?',I'm here to help with that.
942,User asked: 'How can I hold and exchange fiat currencies?',I'm here to help with that.
943,User asked: 'What currencies are available for my use in holding and exchange?',I'm here to help with that.
944,User asked: 'I would like for someone to tell me which fiat currencies that your company supports.',I'm here to help with that.
945,User asked: 'Which currencies are allowed?',I'm here to help with that.
946,"User asked: 'I'm interested in using fiat currencies, which do you support?'",I'm here to help with that.
947,User asked: 'How do I go forth on holding money in multiple currencies?',I'm here to help with that.
948,User asked: 'Which currencies will you exchange?',I'm here to help with that.
949,User asked: 'I need a list of currencies you accept for exchange.',I'm here to help with that.
950,User asked: 'What type of fiat currencies do you support?',I'm here to help with that.
951,User asked: 'What currencies are supported?',I'm here to help with that.
952,User asked: 'Please tell me which fiat currencies you support.',I'm here to help with that.
953,User asked: 'Do you offer services that hold money in different types of currency?',I'm here to help with that.
954,User asked: 'What currency is supported for exchanges and holding?',I'm here to help with that.
955,User asked: 'What fiat money can I used in the exchange and holding?',I'm here to help with that.
956,User asked: 'What fiat currencies are used for exchange?',I'm here to help with that.
957,User asked: 'Do you provide currency exchange to Euros?',I'm here to help with that.
958,User asked: 'What country's money can I hold currency in?',I'm here to help with that.
959,User asked: 'What other currencies can I hang onto?',I'm here to help with that.
960,"User asked: 'I'm interested in holding and exchange for flat currencies, what do you support?'",I'm here to help with that.
961,User asked: 'Do you have a problem with EUR exchanges?',I'm here to help with that.
962,User asked: 'Can I exchange currency to Europe?',I'm here to help with that.
963,User asked: 'What are eligible holding and exchange currencies?',I'm here to help with that.
964,"User asked: 'In the exchange and holding, what fiat is allowed?'",I'm here to help with that.
965,User asked: 'How can I exchange to EUR?',I'm here to help with that.
966,User asked: 'Do you allow exchanges of EUR?',I'm here to help with that.
967,User asked: 'Are you able to make exchanges to EUR?',I'm here to help with that.
968,User asked: 'Does my account have the option to hold multiple currencies?',I'm here to help with that.
969,User asked: 'Which fiat currencies can I use through this app?',I'm here to help with that.
970,"User asked: 'Do you hold money and if so, what currencies do you accept?'",I'm here to help with that.
971,User asked: 'Please tell me the types of currency I can hold.',I'm here to help with that.
972,User asked: 'can I have multiple currencies?',I'm here to help with that.
973,User asked: 'Will you work with any fiat currencies?',I'm here to help with that.
974,User asked: 'Which flat currencies can I use from you?',I'm here to help with that.
975,User asked: 'What fiat currencies are used for holdings?',I'm here to help with that.
976,User asked: 'Which fiat currencies do you currently support? Will this change in this future?',I'm here to help with that.
977,User asked: 'Can you make exchanges using the EUR?',I'm here to help with that.
978,User asked: 'Is it possible to hold money in different currencies?',I'm here to help with that.
979,User asked: 'Tell me the currencies that you support.',I'm here to help with that.
980,User asked: 'are multiple currencies acceptable?',I'm here to help with that.
981,User asked: 'Do you deal with EUR?',I'm here to help with that.
982,"User asked: 'I heard that you support more than one type of fiat currency, would you tell me which ones please?'",I'm here to help with that.
983,User asked: 'Which fiat currencies are supported for holding and exchanging?',I'm here to help with that.
984,User asked: 'What fiat currencies are supported?',I'm here to help with that.
985,User asked: 'What are my options for holding money in multiple currencies?',I'm here to help with that.
986,User asked: 'What flat currencies do you use for holding and exchanges.',I'm here to help with that.
987,"User asked: 'I want to hold and exchange fiat currencies, what can I use to do so?'",I'm here to help with that.
988,User asked: 'Do you have EUR currency available for me?',I'm here to help with that.
989,"User asked: 'If I was travelling abroad, would I be able to hold currencies in euros?'",I'm here to help with that.
990,User asked: 'Which fiat currencies are compatible for exchange and holding?',I'm here to help with that.
991,User asked: 'Is my fiat currency supported for both hold and exchange?',I'm here to help with that.
992,User asked: 'I need to know which flat currencies are supported by you.',I'm here to help with that.
993,User asked: 'Please list what fiat currencies are supported for both holding and exchanging.',I'm here to help with that.
994,User asked: 'Do you have support for flat currencies?',I'm here to help with that.
995,User asked: 'I would like to know which fiat currencies are recognized by your organization.',I'm here to help with that.
996,User asked: 'Can you change my currency to EUR?',I'm here to help with that.
997,User asked: 'Are you okay with exchanges to EUR?',I'm here to help with that.
998,User asked: 'Can I exchange my money for EUR?',I'm here to help with that.
999,User asked: 'Can I have money of different country of origin.',I'm here to help with that.
1000,User asked: 'What are the currency types that I can keep money in.',I'm here to help with that.
1001,User asked: 'I need assistance with understanding which fiat currencies that you support.',I'm here to help with that.
1002,User asked: 'Could you tell me the fiat currencies that you work with?',I'm here to help with that.
1003,User asked: 'Which fiat currencies are supported?',I'm here to help with that.
1004,User asked: 'Which flat currencies do you support for holding and exchange?',I'm here to help with that.
1005,User asked: 'Can you tell me if I can hold money in several currencies?',I'm here to help with that.
1006,User asked: 'Can it specifically be delivered on a certain date?',Card delivery typically takes 5–7 working days. You’ll receive an SMS when it’s ready for collection.
1007,User asked: 'I need to get my card quickly',Card delivery typically takes 5–7 working days. You’ll receive an SMS when it’s ready for collection.
1008,User asked: 'When can I expect my card? I live in the US.',Card delivery typically takes 5–7 working days. You’ll receive an SMS when it’s ready for collection.
1009,User asked: 'Help! When will the card arrive at my home?',Card delivery typically takes 5–7 working days. You’ll receive an SMS when it’s ready for collection.
1010,User asked: 'Can I get my card fast tracked?',Card delivery typically takes 5–7 working days. You’ll receive an SMS when it’s ready for collection.
1011,User asked: 'How long is the wait for my card?',Card delivery typically takes 5–7 working days. You’ll receive an SMS when it’s ready for collection.
1012,User asked: 'i need to expedite my card',Card delivery typically takes 5–7 working days. You’ll receive an SMS when it’s ready for collection.
1013,User asked: 'When should I expect to receive my card?',Card delivery typically takes 5–7 working days. You’ll receive an SMS when it’s ready for collection.
1014,User asked: 'How long until my card will get here?',Card delivery typically takes 5–7 working days. You’ll receive an SMS when it’s ready for collection.
1015,User asked: 'How long is the delivery time to the US?',Card delivery typically takes 5–7 working days. You’ll receive an SMS when it’s ready for collection.
1016,User asked: 'Can I have it delivered on a specific date?',Card delivery typically takes 5–7 working days. You’ll receive an SMS when it’s ready for collection.
1017,"User asked: 'i am express delivering my card to the us, how long will that take'",Card delivery typically takes 5–7 working days. You’ll receive an SMS when it’s ready for collection.
1018,User asked: 'I need my card soon.',Card delivery typically takes 5–7 working days. You’ll receive an SMS when it’s ready for collection.
1019,User asked: 'Can I choose when my card is delivered?',Card delivery typically takes 5–7 working days. You’ll receive an SMS when it’s ready for collection.
1020,User asked: 'When will my card be here?',Card delivery typically takes 5–7 working days. You’ll receive an SMS when it’s ready for collection.
1021,User asked: 'How long will delivery to the US take?',Card delivery typically takes 5–7 working days. You’ll receive an SMS when it’s ready for collection.
1022,User asked: 'When can I expect delivery?',Card delivery typically takes 5–7 working days. You’ll receive an SMS when it’s ready for collection.
1023,User asked: 'Can I specify a day for my card to be delivered?',Card delivery typically takes 5–7 working days. You’ll receive an SMS when it’s ready for collection.
1024,User asked: 'I'm worried my card might be lost in the mail? How long does it usually take to arrive?',Card delivery typically takes 5–7 working days. You’ll receive an SMS when it’s ready for collection.
1025,User asked: 'When will my card be delivered?',Card delivery typically takes 5–7 working days. You’ll receive an SMS when it’s ready for collection.
1026,User asked: 'can the delivery be specific to my needs?',Card delivery typically takes 5–7 working days. You’ll receive an SMS when it’s ready for collection.
1027,User asked: 'how long does delivery take?',Card delivery typically takes 5–7 working days. You’ll receive an SMS when it’s ready for collection.
1028,"User asked: 'To deliver to the US, how long will it take?'",Card delivery typically takes 5–7 working days. You’ll receive an SMS when it’s ready for collection.
1029,User asked: 'How quickly can you get me my card?',Card delivery typically takes 5–7 working days. You’ll receive an SMS when it’s ready for collection.
1030,User asked: 'can I choose delivery times to suite me?',Card delivery typically takes 5–7 working days. You’ll receive an SMS when it’s ready for collection.
1031,User asked: 'Can I choose the day it's delivered?',Card delivery typically takes 5–7 working days. You’ll receive an SMS when it’s ready for collection.
1032,User asked: 'How long will this take to get to me?',Card delivery typically takes 5–7 working days. You’ll receive an SMS when it’s ready for collection.
1033,User asked: 'When shipped to the US how long is delivery time?',Card delivery typically takes 5–7 working days. You’ll receive an SMS when it’s ready for collection.
1034,"User asked: 'Give me my card, I need it now!'",Card delivery typically takes 5–7 working days. You’ll receive an SMS when it’s ready for collection.
1035,User asked: 'I'd like to have it delivered on Saturday.  Is that possible?',Card delivery typically takes 5–7 working days. You’ll receive an SMS when it’s ready for collection.
1036,User asked: 'How long will I have to wait for my new card?',Card delivery typically takes 5–7 working days. You’ll receive an SMS when it’s ready for collection.
1037,User asked: 'How long is a delivery to the US?',Card delivery typically takes 5–7 working days. You’ll receive an SMS when it’s ready for collection.
1038,User asked: 'What is the delivery time to the US?',Card delivery typically takes 5–7 working days. You’ll receive an SMS when it’s ready for collection.
1039,User asked: 'How long does it take for deliver to the US?',Card delivery typically takes 5–7 working days. You’ll receive an SMS when it’s ready for collection.
1040,User asked: 'If I order a card when does it arrive?',Card delivery typically takes 5–7 working days. You’ll receive an SMS when it’s ready for collection.
1041,User asked: 'When can I expect my card?',Card delivery typically takes 5–7 working days. You’ll receive an SMS when it’s ready for collection.
1042,User asked: 'How long is delivery to the US?',Card delivery typically takes 5–7 working days. You’ll receive an SMS when it’s ready for collection.
1043,User asked: 'What is your shipping policies for cards?',Card delivery typically takes 5–7 working days. You’ll receive an SMS when it’s ready for collection.
1044,User asked: 'I ordered my card and it isn't here yet. I need it ASAP. When can I expect to get it?',Card delivery typically takes 5–7 working days. You’ll receive an SMS when it’s ready for collection.
1045,User asked: 'how long should I expect to wait for my card to arrive?',Card delivery typically takes 5–7 working days. You’ll receive an SMS when it’s ready for collection.
1046,User asked: 'When will my card come? I need it as soon as possible!',Card delivery typically takes 5–7 working days. You’ll receive an SMS when it’s ready for collection.
1047,User asked: 'How long should I wait for the card to arrive?',Card delivery typically takes 5–7 working days. You’ll receive an SMS when it’s ready for collection.
1048,User asked: 'What is the wait time for delivery to the US?',Card delivery typically takes 5–7 working days. You’ll receive an SMS when it’s ready for collection.
1049,User asked: 'Can you tell me when my card will arrive?',Card delivery typically takes 5–7 working days. You’ll receive an SMS when it’s ready for collection.
1050,User asked: 'When can I expect my card to arrive?',Card delivery typically takes 5–7 working days. You’ll receive an SMS when it’s ready for collection.
1051,User asked: 'Can I have it delivered on the date I need it delivered?',Card delivery typically takes 5–7 working days. You’ll receive an SMS when it’s ready for collection.
1052,User asked: 'What is the length of time for one of these items to come to the U.S?',Card delivery typically takes 5–7 working days. You’ll receive an SMS when it’s ready for collection.
1053,User asked: 'How long will it take to have my card mailed to me?',Card delivery typically takes 5–7 working days. You’ll receive an SMS when it’s ready for collection.
1054,User asked: 'Can cards be dispatched on a specific date?',Card delivery typically takes 5–7 working days. You’ll receive an SMS when it’s ready for collection.
1055,User asked: 'Can I have it by a certain date?',Card delivery typically takes 5–7 working days. You’ll receive an SMS when it’s ready for collection.
1056,User asked: 'I need my card as quick as possible',Card delivery typically takes 5–7 working days. You’ll receive an SMS when it’s ready for collection.
1057,User asked: 'How long will it take my card to get here?',Card delivery typically takes 5–7 working days. You’ll receive an SMS when it’s ready for collection.
1058,User asked: 'Is there a specific date it can be delivered by?',Card delivery typically takes 5–7 working days. You’ll receive an SMS when it’s ready for collection.
1059,User asked: 'I need my card to be delivered fast',Card delivery typically takes 5–7 working days. You’ll receive an SMS when it’s ready for collection.
1060,User asked: 'Is there a specific date i can have it delivered?',Card delivery typically takes 5–7 working days. You’ll receive an SMS when it’s ready for collection.
1061,User asked: 'How long will it take to deliver to the US?',Card delivery typically takes 5–7 working days. You’ll receive an SMS when it’s ready for collection.
1062,User asked: 'I need my card ASAP!',Card delivery typically takes 5–7 working days. You’ll receive an SMS when it’s ready for collection.
1063,User asked: 'How long will it take to get to the US?',Card delivery typically takes 5–7 working days. You’ll receive an SMS when it’s ready for collection.
1064,User asked: 'How soon will I get my card?',Card delivery typically takes 5–7 working days. You’ll receive an SMS when it’s ready for collection.
1065,User asked: 'What is the estimated date for delivery to US?',Card delivery typically takes 5–7 working days. You’ll receive an SMS when it’s ready for collection.
1066,User asked: 'How long does it take for the card to come?',Card delivery typically takes 5–7 working days. You’ll receive an SMS when it’s ready for collection.
1067,User asked: 'When will I receive the card?',Card delivery typically takes 5–7 working days. You’ll receive an SMS when it’s ready for collection.
1068,User asked: 'When should I expect my card to arrive?',Card delivery typically takes 5–7 working days. You’ll receive an SMS when it’s ready for collection.
1069,User asked: 'Can I pay more to get it deliver quicker?',Card delivery typically takes 5–7 working days. You’ll receive an SMS when it’s ready for collection.
1070,User asked: 'How long is the delivery to the US?',Card delivery typically takes 5–7 working days. You’ll receive an SMS when it’s ready for collection.
1071,User asked: 'Send me my card now! ASAP',Card delivery typically takes 5–7 working days. You’ll receive an SMS when it’s ready for collection.
1072,"User asked: 'I haven't received my card yet, how long does it normally take?'",Card delivery typically takes 5–7 working days. You’ll receive an SMS when it’s ready for collection.
1073,User asked: 'How long is US delivery?',Card delivery typically takes 5–7 working days. You’ll receive an SMS when it’s ready for collection.
1074,User asked: 'can you express my card to me?',Card delivery typically takes 5–7 working days. You’ll receive an SMS when it’s ready for collection.
1075,User asked: 'When will it get delivered?',Card delivery typically takes 5–7 working days. You’ll receive an SMS when it’s ready for collection.
1076,User asked: 'how soon will my card arrive?',Card delivery typically takes 5–7 working days. You’ll receive an SMS when it’s ready for collection.
1077,User asked: 'I ordered my card a couple weeks ago and haven't received it yet. When can I expect it?',Card delivery typically takes 5–7 working days. You’ll receive an SMS when it’s ready for collection.
1078,User asked: 'How long does it take for cards to be delivered after ordering them?',Card delivery typically takes 5–7 working days. You’ll receive an SMS when it’s ready for collection.
1079,"User asked: 'If I need delivery on a certain day, is that something that could be accommodated?'",Card delivery typically takes 5–7 working days. You’ll receive an SMS when it’s ready for collection.
1080,User asked: 'how much to get my card in 2 days?',Card delivery typically takes 5–7 working days. You’ll receive an SMS when it’s ready for collection.
1081,User asked: 'When are cards shipped?',Card delivery typically takes 5–7 working days. You’ll receive an SMS when it’s ready for collection.
1082,User asked: 'My card is needed soon',Card delivery typically takes 5–7 working days. You’ll receive an SMS when it’s ready for collection.
1083,User asked: 'What is the delivery time for US?',Card delivery typically takes 5–7 working days. You’ll receive an SMS when it’s ready for collection.
1084,User asked: 'I placed my order a week ago. Is it ok that my card isn't here yet?',Card delivery typically takes 5–7 working days. You’ll receive an SMS when it’s ready for collection.
1085,User asked: 'How soon do cards arrive after I order them?',Card delivery typically takes 5–7 working days. You’ll receive an SMS when it’s ready for collection.
1086,User asked: 'How will I get my card?',Card delivery typically takes 5–7 working days. You’ll receive an SMS when it’s ready for collection.
1087,User asked: 'How long does it take to receive my card?',Card delivery typically takes 5–7 working days. You’ll receive an SMS when it’s ready for collection.
1088,User asked: 'How long until the card arrives?',Card delivery typically takes 5–7 working days. You’ll receive an SMS when it’s ready for collection.
1089,User asked: 'Can I have my card delivered on Tuesday?',Card delivery typically takes 5–7 working days. You’ll receive an SMS when it’s ready for collection.
1090,User asked: 'Can you tell me how long it takes for a new card to come?',Card delivery typically takes 5–7 working days. You’ll receive an SMS when it’s ready for collection.
1091,User asked: 'i need to add express delivery if that's an option',Card delivery typically takes 5–7 working days. You’ll receive an SMS when it’s ready for collection.
1092,User asked: 'I need my card right away.',Card delivery typically takes 5–7 working days. You’ll receive an SMS when it’s ready for collection.
1093,User asked: 'Can i choose a specific delivery date?',Card delivery typically takes 5–7 working days. You’ll receive an SMS when it’s ready for collection.
1094,User asked: 'When will I get my card shipped to me?',Card delivery typically takes 5–7 working days. You’ll receive an SMS when it’s ready for collection.
1095,User asked: 'Do I have a say when it's delivered?',Card delivery typically takes 5–7 working days. You’ll receive an SMS when it’s ready for collection.
1096,User asked: 'I need my card delivered as soon as possible.',Card delivery typically takes 5–7 working days. You’ll receive an SMS when it’s ready for collection.
1097,User asked: 'I would like to make sure it is delivered on a certain date.',Card delivery typically takes 5–7 working days. You’ll receive an SMS when it’s ready for collection.
1098,User asked: 'When will I receive my card?',Card delivery typically takes 5–7 working days. You’ll receive an SMS when it’s ready for collection.
1099,User asked: 'Could I chose the date to have it delivered?',Card delivery typically takes 5–7 working days. You’ll receive an SMS when it’s ready for collection.
1100,User asked: 'How long does it take for a card to arrive?',Card delivery typically takes 5–7 working days. You’ll receive an SMS when it’s ready for collection.
1101,User asked: 'Will my card be here soon?',Card delivery typically takes 5–7 working days. You’ll receive an SMS when it’s ready for collection.
1102,User asked: 'Please send my card as quickly as possible.',Card delivery typically takes 5–7 working days. You’ll receive an SMS when it’s ready for collection.
1103,User asked: 'how long does it take to get my card i am in a rush',Card delivery typically takes 5–7 working days. You’ll receive an SMS when it’s ready for collection.
1104,User asked: 'When can I expect to receive my card?',Card delivery typically takes 5–7 working days. You’ll receive an SMS when it’s ready for collection.
1105,User asked: 'Are the delivery days flexible?  My schedule only allows me to be a available on specific dates.',Card delivery typically takes 5–7 working days. You’ll receive an SMS when it’s ready for collection.
1106,User asked: 'How many days to deliver to a US customer?',Card delivery typically takes 5–7 working days. You’ll receive an SMS when it’s ready for collection.
1107,User asked: 'When can I expect my new card to get here?',Card delivery typically takes 5–7 working days. You’ll receive an SMS when it’s ready for collection.
1108,User asked: 'How long are deliveries to the US?',Card delivery typically takes 5–7 working days. You’ll receive an SMS when it’s ready for collection.
1109,User asked: 'Can it be delivered on a certain date?',Card delivery typically takes 5–7 working days. You’ll receive an SMS when it’s ready for collection.
1110,User asked: 'What is delivery speed to the United States?',Card delivery typically takes 5–7 working days. You’ll receive an SMS when it’s ready for collection.
1111,User asked: 'How long does it take for something to be delivered to the U.S?',Card delivery typically takes 5–7 working days. You’ll receive an SMS when it’s ready for collection.
1112,User asked: 'How long does it take for my physical card to be delivered.',Card delivery typically takes 5–7 working days. You’ll receive an SMS when it’s ready for collection.
1113,User asked: 'what is the leadtime for a new card to show up in the mail?',Card delivery typically takes 5–7 working days. You’ll receive an SMS when it’s ready for collection.
1114,User asked: 'What's the earliest time to receive my card?',Card delivery typically takes 5–7 working days. You’ll receive an SMS when it’s ready for collection.
1115,User asked: 'are you sending me my card?',Card delivery typically takes 5–7 working days. You’ll receive an SMS when it’s ready for collection.
1116,User asked: 'I need my card immediately.',Card delivery typically takes 5–7 working days. You’ll receive an SMS when it’s ready for collection.
1117,User asked: 'When will it be delivered to the US?',Card delivery typically takes 5–7 working days. You’ll receive an SMS when it’s ready for collection.
1118,User asked: 'Can I add money automatically to my account while traveling?',I'm here to help with that.
1119,User asked: 'i need help finding the auto top up option.',I'm here to help with that.
1120,User asked: 'What are the maximum amount you can do for auto top-up?',I'm here to help with that.
1121,User asked: 'I can't find the auto-top up option.',I'm here to help with that.
1122,User asked: 'Does the auto top-up have any limits?',I'm here to help with that.
1123,User asked: 'When do i activate auto top-up?',I'm here to help with that.
1124,User asked: 'Can I have money transferred into my account at different intervals along my trip?',I'm here to help with that.
1125,"User asked: 'I going to be traveling, can I set up auto top-up if I run low on money?'",I'm here to help with that.
1126,User asked: 'Is there an automatic top up feature?',I'm here to help with that.
1127,User asked: 'Can I have my account add money automatically in certain intervals?',I'm here to help with that.
1128,User asked: 'Is there a daily auto top-up limit?',I'm here to help with that.
1129,User asked: 'How do I access the option to top up?',I'm here to help with that.
1130,User asked: 'I will be traveling.  Can I add money automatically?',I'm here to help with that.
1131,User asked: 'How low does the balance have to be before the system updates?',I'm here to help with that.
1132,User asked: 'Is there a auto top-up option?',I'm here to help with that.
1133,User asked: 'How do i set up auto top-up?',I'm here to help with that.
1134,"User asked: 'If there isn't much money left over, will it top-up automatically?'",I'm here to help with that.
1135,User asked: 'Do I need to set a limit on auto top-up?',I'm here to help with that.
1136,User asked: 'can you top up your account automatically',I'm here to help with that.
1137,User asked: 'Can I add money to my card automatically during a trip?',I'm here to help with that.
1138,User asked: 'Is an auto top-up option available?',I'm here to help with that.
1139,User asked: 'Can I auto top if I'm low on funds?',I'm here to help with that.
1140,User asked: 'Tell me where I can find the auto top up feature and a little bit about it please.',I'm here to help with that.
1141,User asked: 'How do I start auto top up?',I'm here to help with that.
1142,User asked: 'I am inquiring about your auto top up feature.',I'm here to help with that.
1143,User asked: 'Can i set up an auto top-up?',I'm here to help with that.
1144,User asked: 'Are there any limit on the auto top-up?',I'm here to help with that.
1145,User asked: 'Is it possible to do auto top up?',I'm here to help with that.
1146,User asked: 'is there a way to do automatic top up',I'm here to help with that.
1147,User asked: 'I would like to top up my account automatically. How do I do that?',I'm here to help with that.
1148,User asked: 'I want to set up an auto top-up',I'm here to help with that.
1149,User asked: 'If I don't have much money in the account can I auto top-up?',I'm here to help with that.
1150,User asked: 'Can I schedule future top ups?',I'm here to help with that.
1151,User asked: 'Can I set automatic top ups?',I'm here to help with that.
1152,User asked: 'I need to know the if there is a limit on the amount for auto top-up.',I'm here to help with that.
1153,User asked: 'Can I set up to my account to automatically top up?',I'm here to help with that.
1154,User asked: 'Does the app top up automatically?',I'm here to help with that.
1155,"User asked: 'If there isn't a lot of money left, will it automatically top-up money?'",I'm here to help with that.
1156,User asked: 'In what increments can I top-up my card?',I'm here to help with that.
1157,User asked: 'Does auto top-up have a limit?',I'm here to help with that.
1158,User asked: 'If I am running low on credit can I auto top up?',I'm here to help with that.
1159,User asked: 'Is there an auto top up feature?',I'm here to help with that.
1160,User asked: 'Is there such thing as an auto top-up option?',I'm here to help with that.
1161,User asked: 'How can I Use thereto-top option?',I'm here to help with that.
1162,User asked: 'when i travel can it top up automatically',I'm here to help with that.
1163,User asked: 'Is there an auto top up option?',I'm here to help with that.
1164,User asked: 'Where do I find the auto top- up?',I'm here to help with that.
1165,User asked: 'How can I add money automatically?',I'm here to help with that.
1166,User asked: 'Where can I located the auto-top up option?',I'm here to help with that.
1167,"User asked: 'I'm going to travel, can I have it add money automatically in certain intervals?'",I'm here to help with that.
1168,User asked: 'I will be traveling and want money to be added automatically in certain intervals. Is this possible?',I'm here to help with that.
1169,User asked: 'Do I have to manually top up once I'm too low?',I'm here to help with that.
1170,User asked: 'How will I know when I can use the auto top-up feature?',I'm here to help with that.
1171,User asked: 'What are the auto-top up policies?',I'm here to help with that.
1172,User asked: 'Can I auto-top up?  How do I do it?',I'm here to help with that.
1173,User asked: 'How do I get refills to my card when I'm traveling?',I'm here to help with that.
1174,User asked: 'What is the limit on Auto top?',I'm here to help with that.
1175,User asked: 'How do I auto top-up?',I'm here to help with that.
1176,User asked: 'Can it add money automatically while travelling',I'm here to help with that.
1177,User asked: 'Is auto top up a provided service?',I'm here to help with that.
1178,User asked: 'When the time is right will this automatically replenish my balance?',I'm here to help with that.
1179,User asked: 'Will money be added automatically when necessary?',I'm here to help with that.
1180,User asked: 'Can I automatically top-up when traveling?',I'm here to help with that.
1181,User asked: 'What is the maximum for auto top-up?',I'm here to help with that.
1182,User asked: 'Is there a way to top-up when it reaches a certain balance?',I'm here to help with that.
1183,User asked: 'Can I set the account to auto top-up?',I'm here to help with that.
1184,User asked: 'Are there any hidden limit on the auto top-up?',I'm here to help with that.
1185,"User asked: 'I am traveling, what can I do to set up auto top-up?'",I'm here to help with that.
1186,"User asked: 'What are my options for topping up, automatic and/or manual?'",I'm here to help with that.
